
Network Stats for the last 29182 seconds:

Total Sent Spatial Packets: 420764
Total Requested to Send Spatial Packets: 1360831
Total Sent Actor Motion Hints Packets: 30073
Percentage of Usual Bandwidth Used: 32.50%


Total Sent: 1225895, 0B (232.59MB)
33  InteractPacket                     14.98KB, Num 1007, Avg 15B
36  PlayerActionPacket                 6.15KB, Num 489, Avg 12B
31  MobEquipmentPacket                 4.07KB, Num 204, Avg 20B
44  AnimatePacket                      3.16KB, Num 808, Avg 4B
147 ItemStackRequestPacket             1.48KB, Num 42, Avg 36B
8   ResourcePackClientResponsePacket   1.12KB, Num 17, Avg 67B
77  CommandRequestPacket               379B, Num 7, Avg 54B
101 ModalFormResponsePacket            363B, Num 38, Avg 9B
152 EmoteListPacket                    344B, Num 5, Avg 68B
307 SetPlayerInventoryOptionsPacket    168B, Num 24, Avg 7B
322 ClientMovementPredictionSyncPacket 120B, Num 2, Avg 60B
47  ContainerClosePacket               116B, Num 29, Avg 4B
321 ClientCameraAimAssistPacket        75B, Num 15, Avg 5B
312 ServerboundLoadingScreenPacket     56B, Num 14, Avg 4B
193 RequestNetworkSettingsPacket       42B, Num 7, Avg 6B
129 ClientCacheStatusPacket            21B, Num 7, Avg 3B
69  RequestChunkRadiusPacket           21B, Num 7, Avg 3B
113 SetLocalPlayerAsInitializedPacket  20B, Num 7, Avg 2B
4   ClientToServerHandshakePacket      7B, Num 7, Avg 1B
102 ServerSettingsRequestPacket        1B, Num 1, Avg 1B

